Filled time(UTC),Futures,Direction,Filled Quantity,Filled Price,Realized PNL,fees
4/16/2026 8:00,ENAUSDT,Open Long,0.3,1,0,-0.003
4/16/2026 8:02,ENAUSDT,Open Long,0.2,1,0,-0.002
4/16/2026 8:15,ENAUSDT,Close Long,0.5,4,1.5,-0.005
4/16/2026 9:30,FARTUSDT,Open Short,0.4,2.5,0,-0.004
4/16/2026 10:10,FARTUSDT,Close Short,0.2,3.75,-0.25,-0.003
4/16/2026 10:12,FARTUSDT,Close Short,0.2,3.75,-0.25,-0.003
4/16/2026 11:00,ARBUSDT,Open Long,0.5,1.2,0,-0.005
4/16/2026 11:45,ARBUSDT,Close Long,0.5,4.2,1.5,-0.006
4/16/2026 13:00,ENAUSDT,Open Short,0.6,1.5,0,-0.006
4/16/2026 13:30,ENAUSDT,Close Short,0.6,2.3333,-0.5,-0.005
4/16/2026 14:10,FARTUSDT,Open Long,0.3,3,0,-0.003
4/16/2026 14:15,FARTUSDT,Open Long,0.3,3,0,-0.003
4/16/2026 15:00,FARTUSDT,Close Long,0.6,5.5,1.5,-0.007
4/16/2026 16:20,ARBUSDT,Open Short,0.5,2,0,-0.005
4/16/2026 17:00,ARBUSDT,Close Short,0.5,3,-0.5,-0.004
4/16/2026 18:00,ENAUSDT,Open Long,0.7,1.1,0,-0.007
4/16/2026 19:15,ENAUSDT,Close Long,0.35,3.2428,0.75,-0.004
4/16/2026 19:20,ENAUSDT,Close Long,0.35,3.2428,0.75,-0.004
4/16/2026 20:30,FARTUSDT,Open Short,0.6,2.2,0,-0.006
4/16/2026 21:00,FARTUSDT,Close Short,0.6,3.0333,-0.5,-0.005
4/17/2026 1:00,ARBUSDT,Open Long,0.4,1.5,0,-0.004
4/17/2026 1:05,ARBUSDT,Open Long,0.4,1.5,0,-0.004
4/17/2026 2:00,ARBUSDT,Close Long,0.8,3.375,1.5,-0.008
4/17/2026 3:30,ENAUSDT,Open Short,0.7,1.4,0,-0.007
4/17/2026 4:15,ENAUSDT,Close Short,0.7,2.1142,-0.5,-0.005
4/17/2026 5:00,FARTUSDT,Open Long,0.8,2,0,-0.008
4/17/2026 6:10,FARTUSDT,Close Long,0.8,3.875,1.5,-0.009
4/17/2026 7:30,ARBUSDT,Open Short,0.8,1.8,0,-0.008
4/17/2026 8:20,ARBUSDT,Close Short,0.8,2.425,-0.5,-0.006
4/17/2026 9:10,ENAUSDT,Open Long,0.5,1.2,0,-0.005
4/17/2026 9:15,ENAUSDT,Open Long,0.4,1.2,0,-0.004
4/17/2026 10:30,ENAUSDT,Close Long,0.9,2.8666,1.5,-0.01
4/17/2026 11:45,FARTUSDT,Open Short,0.9,2.5,0,-0.009
4/17/2026 12:30,FARTUSDT,Close Short,0.9,3.0555,-17.5,-0.006
4/17/2026 13:15,ARBUSDT,Open Long,0.5,1.6,0,-0.005
4/17/2026 13:20,ARBUSDT,Open Long,0.5,1.6,0,-0.005
4/17/2026 14:10,ARBUSDT,Close Long,1,3.1,1.5,-0.011
4/17/2026 15:30,ENAUSDT,Open Short,0.9,1.3,0,-0.009
4/17/2026 16:15,ENAUSDT,Close Short,0.9,1.8555,-0.5,-0.006
4/17/2026 17:00,FARTUSDT,Open Long,0.5,2.8,0,-0.005
4/17/2026 17:05,FARTUSDT,Open Long,0.5,2.8,0,-0.005
4/17/2026 18:20,FARTUSDT,Close Long,1,4.3,1.5,-0.012
4/17/2026 19:10,ARBUSDT,Open Short,1,2,0,-0.01
4/17/2026 20:00,ARBUSDT,Close Short,1,2.5,-0.5,-0.007
4/17/2026 21:00,ENAUSDT,Open Long,0.6,1.5,0,-0.006
4/17/2026 21:05,ENAUSDT,Open Long,0.5,1.5,0,-0.005
4/17/2026 22:15,ENAUSDT,Close Long,1.1,2.8636,1.5,-0.012
4/17/2026 23:00,FARTUSDT,Open Short,1.1,3,0,-0.011
4/17/2026 23:30,FARTUSDT,Close Short,1.1,3.4545,-0.5,-0.007
4/17/2026 23:55,ARBUSDT,Open Long,1.2,1.8,0,-0.012
4/18/2026 0:30,ARBUSDT,Close Long,1.2,3.05,1.5,-0.011
