Filled time(UTC),Futures,Direction,Filled Quantity,Filled Price,Realized PNL,fees
2026-04-16 08:00:00,ENAUSDT,Open Long,0.30,1.0000,0.0,-0.003
2026-04-16 08:02:00,ENAUSDT,Open Long,0.20,1.0000,0.0,-0.002
2026-04-16 08:15:00,ENAUSDT,Close Long,0.50,4.0000,1.50,-0.005
2026-04-16 09:30:00,FARTUSDT,Open Short,0.40,2.5000,0.0,-0.004
2026-04-16 10:10:00,FARTUSDT,Close Short,0.20,3.7500,-0.25,-0.003
2026-04-16 10:12:00,FARTUSDT,Close Short,0.20,3.7500,-0.25,-0.003
2026-04-16 11:00:00,ARBUSDT,Open Long,0.50,1.2000,0.0,-0.005
2026-04-16 11:45:00,ARBUSDT,Close Long,0.50,4.2000,1.50,-0.006
2026-04-16 13:00:00,ENAUSDT,Open Short,0.60,1.5000,0.0,-0.006
2026-04-16 13:30:00,ENAUSDT,Close Short,0.60,2.3333,-0.50,-0.005
2026-04-16 14:10:00,FARTUSDT,Open Long,0.30,3.0000,0.0,-0.003
2026-04-16 14:15:00,FARTUSDT,Open Long,0.30,3.0000,0.0,-0.003
2026-04-16 15:00:00,FARTUSDT,Close Long,0.60,5.5000,1.50,-0.007
2026-04-16 16:20:00,ARBUSDT,Open Short,0.50,2.0000,0.0,-0.005
2026-04-16 17:00:00,ARBUSDT,Close Short,0.50,3.0000,-0.50,-0.004
2026-04-16 18:00:00,ENAUSDT,Open Long,0.70,1.1000,0.0,-0.007
2026-04-16 19:15:00,ENAUSDT,Close Long,0.35,3.2428,0.75,-0.004
2026-04-16 19:20:00,ENAUSDT,Close Long,0.35,3.2428,0.75,-0.004
2026-04-16 20:30:00,FARTUSDT,Open Short,0.60,2.2000,0.0,-0.006
2026-04-16 21:00:00,FARTUSDT,Close Short,0.60,3.0333,-0.50,-0.005
2026-04-17 01:00:00,ARBUSDT,Open Long,0.40,1.5000,0.0,-0.004
2026-04-17 01:05:00,ARBUSDT,Open Long,0.40,1.5000,0.0,-0.004
2026-04-17 02:00:00,ARBUSDT,Close Long,0.80,3.3750,1.50,-0.008
2026-04-17 03:30:00,ENAUSDT,Open Short,0.70,1.4000,0.0,-0.007
2026-04-17 04:15:00,ENAUSDT,Close Short,0.70,2.1142,-0.50,-0.005
2026-04-17 05:00:00,FARTUSDT,Open Long,0.80,2.0000,0.0,-0.008
2026-04-17 06:10:00,FARTUSDT,Close Long,0.80,3.8750,1.50,-0.009
2026-04-17 07:30:00,ARBUSDT,Open Short,0.80,1.8000,0.0,-0.008
2026-04-17 08:20:00,ARBUSDT,Close Short,0.80,2.4250,-0.50,-0.006
2026-04-17 09:10:00,ENAUSDT,Open Long,0.50,1.2000,0.0,-0.005
2026-04-17 09:15:00,ENAUSDT,Open Long,0.40,1.2000,0.0,-0.004
2026-04-17 10:30:00,ENAUSDT,Close Long,0.90,2.8666,1.50,-0.010
2026-04-17 11:45:00,FARTUSDT,Open Short,0.90,2.5000,0.0,-0.009
2026-04-17 12:30:00,FARTUSDT,Close Short,0.90,3.0555,-0.50,-0.006
2026-04-17 13:15:00,ARBUSDT,Open Long,0.50,1.6000,0.0,-0.005
2026-04-17 13:20:00,ARBUSDT,Open Long,0.50,1.6000,0.0,-0.005
2026-04-17 14:10:00,ARBUSDT,Close Long,1.00,3.1000,1.50,-0.011
2026-04-17 15:30:00,ENAUSDT,Open Short,0.90,1.3000,0.0,-0.009
2026-04-17 16:15:00,ENAUSDT,Close Short,0.90,1.8555,-0.50,-0.006
2026-04-17 17:00:00,FARTUSDT,Open Long,0.50,2.8000,0.0,-0.005
2026-04-17 17:05:00,FARTUSDT,Open Long,0.50,2.8000,0.0,-0.005
2026-04-17 18:20:00,FARTUSDT,Close Long,1.00,4.3000,1.50,-0.012
2026-04-17 19:10:00,ARBUSDT,Open Short,1.00,2.0000,0.0,-0.010
2026-04-17 20:00:00,ARBUSDT,Close Short,1.00,2.5000,-0.50,-0.007
2026-04-17 21:00:00,ENAUSDT,Open Long,0.60,1.5000,0.0,-0.006
2026-04-17 21:05:00,ENAUSDT,Open Long,0.50,1.5000,0.0,-0.005
2026-04-17 22:15:00,ENAUSDT,Close Long,1.10,2.8636,1.50,-0.012
2026-04-17 23:00:00,FARTUSDT,Open Short,1.10,3.0000,0.0,-0.011
2026-04-17 23:30:00,FARTUSDT,Close Short,1.10,3.4545,-0.50,-0.007
2026-04-17 23:55:00,ARBUSDT,Open Long,1.20,1.8000,0.0,-0.012
2026-04-18 00:30:00,ARBUSDT,Close Long,1.20,3.0500,1.50,-0.011
